album,title,singer,timespan,lyrics
Blood Mountain,capillarian-crest,Troy Sanders,6, Capillarian gone away Capillarian gone away 
Blood Mountain,capillarian-crest,Brent Hinds,12, It's a shattered wave Cosmogenic cycles Universal dreams The unseen essence 
Blood Mountain,capillarian-crest,Brent Hinds,11, Energies refreshed 12 years of silence Frivolous to moments Shake the hand of lightning 
Blood Mountain,capillarian-crest,Brent Hinds,7, Capillarian carnate Capillarian carnate 
Blood Mountain,capillarian-crest,Brent Hinds,24, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone 
Blood Mountain,capillarian-crest,Troy Sanders,24, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone 
Blood Mountain,capillarian-crest,Brent Hinds,37, This river is running violence A way to catch our breath Rising from the mercury We will climb to bestow our trust Take away the anchor Amplify the mystery Inhale the earth and wind Map out the plans to our test 
Blood Mountain,circle-of-cysquatch,Troy Sanders,10, Elephant spirits Tower of ivory Story of ancient deities 
Blood Mountain,circle-of-cysquatch,Brent Hinds,10, Seizure of the fleece Protector of its place 
Blood Mountain,circle-of-cysquatch,Troy Sanders,8, Fly through dreamscapes Of valleys gullies and spires Herd across suicidal slopes 
Blood Mountain,circle-of-cysquatch,Brent Hinds,11, Changeless moonshines Circle cyclops image 
Blood Mountain,circle-of-cysquatch,Troy Sanders,10, A race of one-eyed beings All feared and shunned Rakshasa demon 
Blood Mountain,circle-of-cysquatch,Brent Hinds,12, Seizure of the fleece Protector of its place 
Blood Mountain,circle-of-cysquatch,Guest,28, Eyes all around you Enter the labyrinth Visions of the hunted Beware the birchmen 
Blood Mountain,circle-of-cysquatch,Troy Sanders,15, Incisors thought to be Skulls of us Our release 
Blood Mountain,colony-of-birchmen,Brent Hinds,28, This forest is growing faster than I can tell Cell structure eats away at a massive swell Seems however I'm a victim of circumstance 
Blood Mountain,colony-of-birchmen,Troy Sanders,20, Hunt for ogres and dwarfs Lion slicer 
Blood Mountain,colony-of-birchmen,Brent Hinds,33, Run with death Run with death White faces coming closer with every step Earth envelopes taking breath without happenstance Carve my teeth out ripping through the sheep's head curse 
Blood Mountain,colony-of-birchmen,Brent Hinds,3, Hunter gatherer Ridden from the cave 
Blood Mountain,colony-of-birchmen,Brent Hinds,11, Run with death Run with death 
Blood Mountain,colony-of-birchmen,Brent Hinds,17, Gone away My heart's gone away Taking everything My heart's gone away Take it now 
Blood Mountain,colony-of-birchmen,Brent Hinds,12, Run with death Run with death 
Blood Mountain,colony-of-birchmen,Brent Hinds,17, Gone away My heart's gone away Taking everything My heart's gone away Take it now 
Blood Mountain,crystal-skull,Troy Sanders,12, Guide a truth Prevail and ride 
Blood Mountain,crystal-skull,Troy Sanders,10, Into the black hole Searching the crystal Making the veins bleed 
Blood Mountain,crystal-skull,Troy Sanders,10, The source of consciousness Alive Crystalline resonance 
Blood Mountain,crystal-skull,Brent Hinds,10, The source of consciousness Alive Crystalline resonance 
Blood Mountain,crystal-skull,Troy Sanders,8, Into the black hole Searching the crystal Making the veins bleed 
Blood Mountain,crystal-skull,Troy Sanders,5, A deep breath before the plunge 
Blood Mountain,crystal-skull,Troy Sanders,10, One million voices Dispelling A thousand faces Disarming 
Blood Mountain,crystal-skull,Guest,13, Running through the darkness Holding hearts in my eyes Falling short of gauntlet Covered in blood-sucking flies 
