id,song_id,member_id,start_time,end_time,lyrics
1,25,4,0:18,0:24, Capillarian gone away Capillarian gone away 
2,25,2,0:24,0:36, It's a shattered wave Cosmogenic cycles Universal dreams The unseen essence 
3,25,2,0:48,0:59, Energies refreshed 12 years of silence Frivolous to moments Shake the hand of lightning 
4,25,2,0:59,1:06, Capillarian carnate Capillarian carnate 
5,25,2,2:32,2:56, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone 
6,25,4,2:32,2:56, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone 
7,25,2,3:37,4:14, This river is running violence A way to catch our breath Rising from the mercury We will climb to bestow our trust Take away the anchor Amplify the mystery Inhale the earth and wind Map out the plans to our test 
8,26,4,0:18,0:28, Elephant spirits Tower of ivory Story of ancient deities 
9,26,2,0:28,0:38, Seizure of the fleece Protector of its place 
10,26,4,0:38,0:46, Fly through dreamscapes Of valleys gullies and spires Herd across suicidal slopes 
11,26,2,0:47,0:58, Changeless moonshines Circle cyclops image 
12,26,4,1:07,1:17, A race of one-eyed beings All feared and shunned Rakshasa demon 
13,26,2,1:17,1:29, Seizure of the fleece Protector of its place 
14,26,16,1:39,2:07, Eyes all around you Enter the labyrinth Visions of the hunted Beware the birchmen 
15,26,4,2:17,2:32, Incisors thought to be Skulls of us Our release 
16,28,2,0:01,0:29, This forest is growing faster than I can tell Cell structure eats away at a massive swell Seems however I'm a victim of circumstance 
17,28,4,0:18,0:38, Hunt for ogres and dwarfs Lion slicer 
18,28,2,0:39,1:12, Run with death Run with death White faces coming closer with every step Earth envelopes taking breath without happenstance Carve my teeth out ripping through the sheep's head curse 
19,28,2,1:16,1:19, Hunter gatherer Ridden from the cave 
20,28,2,1:20,1:31, Run with death Run with death 
21,28,2,1:56,2:13, Gone away My heart's gone away Taking everything My heart's gone away Take it now 
22,28,2,2:20,2:32, Run with death Run with death 
23,28,2,2:56,3:13, Gone away My heart's gone away Taking everything My heart's gone away Take it now 
